iso3,country,hdicode,region,gii_2010,gii_2019,difference_2010_2019
AFG,Afghanistan,Low,SA,0.753,0.665,0.088
AGO,Angola,Medium,SSA,0.551,0.537,0.014
ALB,Albania,High,ECA,0.246,0.156,0.09
AND,Andorra,Very High,,,,n/a
ARE,United Arab Emirates,Very High,AS,0.175,0.056,0.119
ARG,Argentina,Very High,LAC,0.364,0.306,0.058
ARM,Armenia,High,ECA,0.346,0.239,0.107
ATG,Antigua and Barbuda,High,LAC,,,n/a
AUS,Australia,Very High,,0.136,0.08,0.056
AUT,Austria,Very High,,0.111,0.054,0.057
AZE,Azerbaijan,High,ECA,0.338,0.314,0.024
BDI,Burundi,Low,SSA,0.54,0.507,0.033
BEL,Belgium,Very High,,0.092,0.048,0.044
BEN,Benin,Low,SSA,0.619,0.61,0.009
BFA,Burkina Faso,Low,SSA,0.617,0.585,0.032
BGD,Bangladesh,Medium,SA,0.607,0.531,0.076
BGR,Bulgaria,High,,0.24,0.205,0.035
BHR,Bahrain,Very High,AS,0.252,0.186,0.066
BHS,Bahamas,Very High,LAC,0.369,0.324,0.045
BIH,Bosnia and Herzegovina,High,ECA,0.222,0.146,0.076
BLR,Belarus,Very High,ECA,0.151,0.103,0.048
BLZ,Belize,Medium,LAC,0.455,0.406,0.049
BOL,Bolivia (Plurinational State of),Medium,LAC,0.486,0.421,0.065
BRA,Brazil,High,LAC,0.45,0.395,0.055
BRB,Barbados,High,LAC,0.32,0.266,0.054
BRN,Brunei Darussalam,Very High,EAP,,0.258,n/a
BTN,Bhutan,Medium,SA,0.526,0.423,0.103
BWA,Botswana,Medium,SSA,0.511,0.47,0.041
CAF,Central African Republic,Low,SSA,0.701,0.69,0.011
CAN,Canada,Very High,,0.133,0.069,0.064
CHE,Switzerland,Very High,,0.057,0.018,0.039
CHL,Chile,Very High,LAC,0.339,0.206,0.133
CHN,China,High,EAP,0.253,0.203,0.05
CIV,C?te d'Ivoire,Medium,SSA,0.66,0.621,0.039
CMR,Cameroon,Medium,SSA,0.627,0.57,0.057
COD,Congo (Democratic Republic of the),Low,SSA,0.656,0.61,0.046
COG,Congo,Medium,SSA,0.615,0.565,0.05
COL,Colombia,High,LAC,0.464,0.423,0.041
COM,Comoros,Medium,SSA,,,n/a
CPV,Cabo Verde,Medium,SSA,,0.378,n/a
CRI,Costa Rica,Very High,LAC,0.333,0.269,0.064
CUB,Cuba,High,LAC,0.333,0.307,0.026
CYP,Cyprus,Very High,,0.13,0.109,0.021
CZE,Czechia,Very High,,0.139,0.124,0.015
DEU,Germany,Very High,,0.096,0.079,0.017
DJI,Djibouti,Low,AS,,,n/a
DMA,Dominica,High,LAC,,,n/a
DNK,Denmark,Very High,,0.049,0.016,0.033
DOM,Dominican Republic,High,LAC,0.491,0.443,0.048
DZA,Algeria,High,AS,0.519,0.437,0.082
ECU,Ecuador,High,LAC,0.432,0.37,0.062
EGY,Egypt,High,AS,0.557,0.468,0.089
ERI,Eritrea,Low,SSA,,,n/a
ESP,Spain,Very High,,0.105,0.056,0.049
EST,Estonia,Very High,,0.166,0.092,0.074
ETH,Ethiopia,Low,SSA,0.596,0.526,0.07
FIN,Finland,Very High,,0.07,0.031,0.039
FJI,Fiji,High,EAP,0.401,0.324,0.077
FRA,France,Very High,,0.129,0.086,0.043
FSM,Micronesia (Federated States of),Medium,EAP,,,n/a
GAB,Gabon,High,SSA,0.576,0.545,0.031
GBR,United Kingdom,Very High,,0.179,0.106,0.073
GEO,Georgia,Very High,ECA,0.414,0.295,0.119
GHA,Ghana,Medium,SSA,0.573,0.536,0.037
GIN,Guinea,Low,SSA,0.653,0.607,0.046
GMB,Gambia,Low,SSA,0.659,0.605,0.054
GNB,Guinea-Bissau,Low,SSA,0.661,0.629,0.032
GNQ,Equatorial Guinea,Medium,SSA,,,n/a
GRC,Greece,Very High,,0.152,0.121,0.031
GRD,Grenada,High,LAC,,,n/a
GTM,Guatemala,Medium,LAC,0.549,0.488,0.061
GUY,Guyana,High,LAC,0.496,0.46,0.036
HKG,"Hong Kong, China (SAR)",Very High,,,,n/a
HND,Honduras,Medium,LAC,0.469,0.447,0.022
HRV,Croatia,Very High,,0.136,0.119,0.017
HTI,Haiti,Low,LAC,0.625,0.635,-0.01
HUN,Hungary,Very High,,0.24,0.227,0.013
IDN,Indonesia,High,EAP,0.499,0.457,0.042
IND,India,Medium,SA,0.582,0.486,0.096
IRL,Ireland,Very High,,0.163,0.079,0.084
IRN,Iran (Islamic Republic of),High,SA,0.525,0.447,0.078
IRQ,Iraq,Medium,AS,0.574,0.567,0.007
